model,framework,queries,final_pass_rate,delivery_rate,artifact_delivery_rate,official_delivery_rate,avg_tokens,avg_cost_usd,avg_runtime_seconds,tokens_total,cost_total_usd
gemma,stigmergiagentic_c3,180,0.1,0.011111111111111112,0.1111111111111111,0.011111111111111112,1575.1444444444444,0.00026582569444444446,0.0,283526,0.047848625
deepseek,stigmergiagentic_c3,180,0.5833333333333334,0.4166666666666667,1.0,0.4166666666666667,30033.86111111111,0.006872549444444445,0.0,5406095,1.2370589
qwen-3.5-9b,stigmergiagentic_c3,180,0.2388888888888889,0.9777777777777777,0.9777777777777777,0.9777777777777777,41084.72,0.004257,140.3084,7395250,0.766304
