model,framework,queries,final_pass_rate,delivery_rate,artifact_delivery_rate,official_delivery_rate,avg_tokens,avg_cost_usd,avg_runtime_seconds,tokens_total,cost_total_usd
gemma,stigmergiagentic_c3,90,0.2111111111111111,0.6444444444444445,1.0,0.6444444444444445,23080.144444444446,0.0037071364444444446,0.0,2077213,0.33364228
deepseek,stigmergiagentic_c3,90,0.2222222222222222,0.6444444444444445,1.0,0.6444444444444445,22247.2,0.005349254888888889,0.0,2002248,0.48143294000000003
qwen-3.5-9b,stigmergiagentic_c3,180,0.2388888888888889,0.9777777777777777,0.9777777777777777,0.9777777777777777,41084.72,0.004257,140.3084,7395250,0.766304
